region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
XIII (Caraga),Surigao,G. Aviation,80, -   ,62, -   ,60,50,30,40,86,44,34,32,518
XIII (Caraga),Surigao,Military, -   , -   , -   ,96, -   , -   , -   , -   , -   , -   , -   , -   ,96
XIII (Caraga),Surigao,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,24,6,10, -   ,10,4,12,10,8,4,2,14,104
XIII (Caraga),Bislig,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XII (SOCCSKSARGEN),General Santos Tambler,International, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XII (SOCCSKSARGEN),General Santos Tambler,Merpati Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XII (SOCCSKSARGEN),General Tambler,Domestic, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XII (SOCCSKSARGEN),General Tambler,PAL,62,58,62,62,88,120,122,122,120,122, -   ,124,1062
XII (SOCCSKSARGEN),General Tambler,Air Philippines,26,24,26,26,10, -   , -   , -   , -   , -   , -   , -   ,112
XII (SOCCSKSARGEN),General Tambler,Cebu Pacific,62,58,60,60,60,60,80,102,112,118, -   ,96,868
XII (SOCCSKSARGEN),General Tambler,G. Aviation,18,6,10,14,36,4,40,8,10,12, -   ,20,178
XII (SOCCSKSARGEN),General Tambler,Military,2,2,2,2,2,22,66,30, -   , -   , -   , -   ,128
XII (SOCCSKSARGEN),General Santos Buauyan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XI (Davao Region),Davao (International),Silk Air,62,58,62,52,52,12,56,52,52,54,52,54,618
XI (Davao Region),Davao (International),Bouraq, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XI (Davao Region),Davao (International),Merpati Air, -   , -   , -   , -   ,4, -   , -   , -   , -   , -   , -   , -   ,4
XI (Davao Region),Davao (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (International),Asian Spirit, -   , -   , -   , -   ,42,48,16, -   , -   , -   , -   ,38,144
XI (Davao Region),Davao (International),Sriwijaya Air,6,4,4, -   , -   , -   , -   , -   , -   , -   , -   , -   ,14
XI (Davao Region),Davao (International),PT Wing Air,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (Domestic),PAL,334,280,304,354,364,334,300,308,336,390,424,458,4186
XI (Davao Region),Davao (Domestic),Cebu Pacific,516,474,506,492,524,546,558,554,526,550,534,526,6306
XI (Davao Region),Davao (Domestic),Air Philippines,244,218,226,242,158,132,126,62,60,68,170,96,1802
XI (Davao Region),Davao (Domestic),Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20,20
XI (Davao Region),Davao (Domestic),Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XI (Davao Region),Davao (Domestic),G. Aviation,216,350,270,350,270,136,272,274,234,300,186,242,3100
XI (Davao Region),Davao (Domestic),Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XI (Davao Region),Mati,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Tandag,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Tandag,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Tandag,G. Aviation,4, -   ,4, -   ,14,8, -   , -   ,4, -   ,18,24,76
XIII (Caraga),Tandag,Military, -   , -   ,8, -   , -   ,32, -   , -   , -   , -   , -   ,6,46
ARMM,Cotabato,PAL,62,58,60,60,60, -   ,62, -   ,60, -   , -   ,62,484
ARMM,Cotabato,Cebu Pacific,36,34,34,42,46, -   ,44, -   ,60, -   , -   ,62,358
ARMM,Cotabato,Seair,24,16,16,18,14, -   ,8, -   , -   , -   , -   , -   ,96
ARMM,Cotabato,G. Aviation,20,22,30,22,28, -   ,52, -   ,26, -   , -   ,20,220
ARMM,Cotabato,Military,30,40,32,34,40, -   ,68, -   ,86, -   , -   ,118,448
X (Northern Mindanao),Iligan,G. Aviation, -   , -   , -   ,16, -   , -   , -   , -   , -   , -   , -   , -   ,16
ARMM,Malabang,G. Aviation,-, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
